people,images,n_neighbors,duration
5,7,5,22.042176865999863
5,7,6,23.352403285000037
5,7,7,18.221611295000002
5,7,8,17.33573423999951
5,7,9,17.367098134000116
5,8,1,21.17874574599955
5,8,2,21.56819124499998
5,8,3,19.852600569999595
5,8,4,19.714451040999847
5,8,5,19.510293837000063
5,8,6,19.57689643499998
5,8,7,19.47346799299976
5,8,8,19.457245180999962
5,8,9,22.06318978699983
5,9,1,29.956905936999647
5,9,2,24.319815159999962
5,9,3,28.123164674999316
5,9,4,32.36931751700013
5,9,5,28.394375494000087
5,9,6,28.960909813999933
5,9,7,23.700537859999713
5,9,8,23.591860231000283
5,9,9,23.539600942000106
5,10,1,26.092307435999828
5,10,2,25.83039941199968
5,10,3,25.876004400000966
5,10,4,25.794346917999064
5,10,5,25.656532648001303
5,10,6,25.70453281399932
5,10,7,25.829670013001305
5,10,8,25.742397531999814
5,10,9,25.76846261299943
5,11,1,28.27025553400017
5,11,2,28.439967346999765
5,11,3,28.365603679998458
5,11,4,28.546900749999622
5,11,5,28.43532075999974
5,11,6,28.415795208999043
5,11,7,28.571875831999932
5,11,8,28.43464780999966
5,11,9,28.405360057999133
5,12,1,32.92073325399906
5,12,2,48.71429686100055
5,12,3,45.80758459599929
5,12,4,35.784256726999956
5,12,5,33.22217195200028
5,12,6,29.52916216199992
5,12,7,29.107448171000215
5,12,8,37.53032449099919
5,12,9,26.254232880000927
5,13,1,29.901874576999035
5,13,2,29.83186226500038
5,13,3,30.16376812499948
5,13,4,27.88869577100013
5,13,5,28.033123780000096
5,13,6,27.951261125999736
5,13,7,27.956166113001018
5,13,8,27.9575357850008
5,13,9,27.973117550000097
5,14,1,30.074085195001317
5,14,2,30.111512326000593
5,14,3,30.129657760000555
5,14,4,30.127541776000726
5,14,5,30.105842887000108
5,14,6,30.12171985599889
5,14,7,30.154943241001092
5,14,8,30.180388127000697
5,14,9,30.14287399800014
5,15,1,32.34249712499877
5,15,2,32.2770945559987
5,15,3,32.245749965999494
5,15,4,32.21169656500024
5,15,5,32.238802889
5,15,6,32.2435839030004
5,15,7,32.27329241299958
5,15,8,32.308396905000336
5,15,9,32.280412970001635
6,1,1,2.604869565999252
6,1,2,2.6104197440017742
6,1,3,2.6103616619984678
6,1,4,2.6045108049984265
6,1,5,2.59202931100117
6,1,6,2.600301448999744
6,1,7,2.6081545039996854
6,1,8,2.603944151000178
6,1,9,2.610523755000031
6,2,1,5.185649265000393
6,2,2,5.203957111998534
6,2,3,5.198371747001147
6,2,4,5.177864860999762
6,2,5,5.19709181700091
6,2,6,5.203341393000301
6,2,7,5.181543754000813
6,2,8,5.199381694999829
6,2,9,5.197835955999835
6,3,1,7.760212066999884
6,3,2,7.789127037998696
6,3,3,7.778284726999118
6,3,4,7.79878169299991
6,3,5,7.766497153999808
6,3,6,7.792051442000229
6,3,7,7.7787168200011365
6,3,8,7.783201205998921
6,3,9,7.7632743189988105
6,4,1,10.388892644999942
6,4,2,10.347251793999021
6,4,3,10.359061985000153
6,4,4,10.320710228999815
6,4,5,10.368450021998797
6,4,6,10.32066151700019
6,4,7,10.361914041001
6,4,8,10.333779040000081
6,4,9,10.367181798001184
6,5,1,12.889454002999628
6,5,2,12.932102594999378
6,5,3,12.946807205998994
6,5,4,12.97879700500016
6,5,5,12.963530934999653
6,5,6,12.964618157000587
6,5,7,12.952907256998515
6,5,8,12.956089670999063
6,5,9,12.951107185001092
6,6,1,15.542714952000097
6,6,2,15.548487836998902
6,6,3,15.553207130998999
6,6,4,15.54689737300032
6,6,5,15.537028028998975
6,6,6,15.554796517000796
6,6,7,15.56875458399918
6,6,8,15.568741021999813
6,6,9,15.573987976998978
6,7,1,18.15982166700087
6,7,2,18.147722445999534
6,7,3,18.13214475299901
6,7,4,18.100473598000463
6,7,5,18.128884723999363
6,7,6,18.110427812000125
6,7,7,18.11143876099959
6,7,8,18.116889087001255
6,7,9,18.1261445070013
6,8,1,20.72432277400003
6,8,2,20.707475638000687
6,8,3,20.699743776000105
6,8,4,20.71838843200021
6,8,5,20.713824209999075
6,8,6,20.69335441200019
6,8,7,20.707953307000935
6,8,8,20.699322397000287
6,8,9,20.695450084000186
6,9,1,23.276080338999236
6,9,2,23.2846572819999
6,9,3,23.304398079999373
6,9,4,23.335924733000866
6,9,5,23.281577586998537
6,9,6,23.298800766000568
6,9,7,23.294861954000226
6,9,8,23.28453719600111
6,9,9,23.26958335499876
6,10,1,25.869092214001284
6,10,2,25.840605847000916
6,10,3,25.872614893998616
6,10,4,25.854327258999547
6,10,5,25.86274229599985
6,10,6,25.860655445998418
6,10,7,25.842414986998847
6,10,8,25.83600153000043
6,10,9,25.84485543200026
6,11,1,28.474076795000656
6,11,2,28.423489576000065
6,11,3,28.438620662000176
6,11,4,28.411151768999844
6,11,5,28.417767752000145
6,11,6,28.416327617000206
6,11,7,28.468750447000275
6,11,8,28.436148120001235
6,11,9,28.43837853900004
6,12,1,31.066256595000596
6,12,2,31.030886196998836
6,12,3,31.038897612001165
6,12,4,31.021932966999884
6,12,5,31.020050799999808
6,12,6,31.043615750000754
6,12,7,31.013612086999274
6,12,8,31.007623849000083
6,12,9,31.017726776000927
6,13,1,33.595327122000526
6,13,2,33.58161839400054
6,13,3,33.59412094799882
6,13,4,33.63695548400028
6,13,5,33.65733790900049
6,13,6,33.638049983999736
6,13,7,33.6383309619996
6,13,8,33.63489693599877
6,13,9,33.65274866300024
6,14,1,36.22482646299977
6,14,2,36.234304235998934
6,14,3,36.21298422499967
6,14,4,36.19630763400164
6,14,5,36.19567863900011
6,14,6,36.19980654899882
6,14,7,36.19273730900022
6,14,8,36.21769321899956
6,14,9,36.249440548001076
6,15,1,38.79229986199971
6,15,2,38.80129502800082
6,15,3,38.82147436200103
6,15,4,38.81974734799951
6,15,5,38.84759578699959
6,15,6,38.806247979000545
6,15,7,38.79293181000139
6,15,8,38.81973911800014
6,15,9,38.899124530000336
7,1,1,3.049110947000372
7,1,2,3.0451424549992225
7,1,3,3.040845736000847
7,1,4,3.039771625000867
7,1,5,3.0467915589997574
7,1,6,3.040557207999882
7,1,7,3.0361248299996078
7,1,8,3.042106140001124
7,1,9,3.047935595999661
7,2,1,6.072214861000248
7,2,2,6.072927258999698
7,2,3,6.065602101998593
7,2,4,6.084647910000058
7,2,5,6.063191328999892
7,2,6,6.069192381999528
7,2,7,6.069566444999509
7,2,8,6.071968535001361
7,2,9,6.076700282999809
7,3,1,9.094723601001533
7,3,2,9.049890022999534
7,3,3,9.096637747999921
7,3,4,9.057719508000446
7,3,5,9.093462329999966
7,3,6,10.043883992000701
7,3,7,9.121488222999687
7,3,8,9.071967047999351
7,3,9,9.913625410999884
7,4,1,17.486211412999182
7,4,2,17.73206018899873
7,4,3,16.91942009000013
7,4,4,19.45510090300013
7,4,5,12.651439659000971
7,4,6,12.34652630599885
7,4,7,12.245623631000853
7,4,8,12.347591290999844
7,4,9,12.416893531999449
7,5,1,15.263406894000582
7,5,2,15.278060598999218
7,5,3,15.24613770599899
7,5,4,15.290284101998623
7,5,5,15.307153431998813
7,5,6,15.31124863200057
7,5,7,15.277004053999917
7,5,8,15.63887239700125
7,5,9,15.257090962999428
7,6,1,18.32746548200157
7,6,2,18.32412337599999
7,6,3,18.333487894000427
7,6,4,25.34370347499862
7,6,5,22.3630114030002
7,6,6,22.625150744001076
7,6,7,28.592735590998927
7,6,8,23.447052411000186
7,6,9,23.97467232499912
7,7,1,27.553717409000456
7,7,2,27.559513619999052
7,7,3,27.608321813999282
7,7,4,27.66539922099946
7,7,5,28.165637179999976
7,7,6,28.13435061599921
7,7,7,28.474712265999187
7,7,8,28.005272850001347
7,7,9,30.74419977300022
7,8,1,25.42009987900019
7,8,2,31.075202205000096
7,8,3,32.05556339400027
7,8,4,31.152818362999824
7,8,5,31.39374213999872
7,8,6,32.801765053000054
7,8,7,33.621463823999875
7,8,8,31.012767187999998
7,8,9,30.816027966999172
7,9,1,34.95839289500145
7,9,2,35.76377150799999
7,9,3,36.429342097999324
7,9,4,35.50705754199953
7,9,5,39.77295736000087
7,9,6,41.08174024299842
7,9,7,35.28231887699985
7,9,8,34.67227495099905
7,9,9,36.32022003600105
7,10,1,39.42947041300067
7,10,2,40.30493971299984
7,10,3,39.884225657999195
7,10,4,39.832307118000244
7,10,5,53.1492857989997
7,10,6,42.48212918200079
7,10,7,40.43889953299913
7,10,8,39.900536770001054
7,10,9,39.318989495001006
7,11,1,44.52496743899974
7,11,2,40.676223984999524
7,11,3,53.381226539000636
7,11,4,42.46141491700109
7,11,5,42.0984985390005
7,11,6,40.59336594500019
7,11,7,41.968009758000335
7,11,8,50.560134385999845
7,11,9,54.05957828400096
7,12,1,44.34035817699987
7,12,2,43.2766331870007
7,12,3,43.10396668800058
7,12,4,49.165514726000765
7,12,5,81.49815101099921
7,12,6,53.35318432200074
7,12,7,49.80839502900017
7,12,8,49.41739165599938
7,12,9,48.24921547899976
7,13,1,53.671372237999094
7,13,2,54.48397317000126
7,13,3,53.515460131999134
7,13,4,52.63533528900007
7,13,5,55.69727807500021
7,13,6,40.5257508779996
7,13,7,39.59132744999988
7,13,8,39.59188591199927
7,13,9,39.58845090900104
7,14,1,42.63426465500015
7,14,2,42.64063524900121
7,14,3,42.66595121000137
7,14,4,42.65346755000064
7,14,5,42.620873606001624
